location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,64.00703,25.989305,115.0,10800,Europe/Helsinki,EEST
1,55.99297,9.959017,56.0,7200,Europe/Copenhagen,CEST
2,64.99121,-18.0,847.0,0,Atlantic/Reykjavik,GMT
3,61.968365,14.962779,380.0,7200,Europe/Stockholm,CEST
4,31.528997,34.772728,170.0,10800,Asia/Jerusalem,IDT
5,52.26713,5.822551,26.0,7200,Europe/Amsterdam,CEST
6,61.968365,10.272953,801.0,7200,Europe/Oslo,CEST
7,49.59578,6.062176,316.0,7200,Europe/Luxembourg,CEST
8,46.994724,8.035714,920.0,7200,Europe/Zurich,CEST
9,-24.991213,135.04845,189.0,34200,Australia/Darwin,ACST
10,-42.003513,173.9738,0.0,43200,Pacific/Auckland,NZST
11,10.017574,-84.089325,1412.0,-21600,America/Costa_Rica,CST
12,29.490334,47.757225,80.0,10800,Asia/Kuwait,+03
13,47.34622,13.404256,1357.0,7200,Europe/Vienna,CEST
14,60.140594,-113.70628,279.0,-21600,America/Edmonton,MDT
15,50.720562,4.4760213,94.0,7200,Europe/Brussels,CEST
16,53.321613,-8.04184,34.0,3600,Europe/Dublin,IST
17,49.736378,14.974003,430.0,7200,Europe/Prague,CEST
18,55.43058,23.951614,55.0,10800,Europe/Vilnius,EEST
19,54.727592,-2.8458557,71.0,3600,Europe/London,BST
20,46.08084,15.023847,696.0,7200,Europe/Ljubljana,CEST
21,23.725834,54.45618,101.0,14400,Asia/Dubai,+04
22,39.753952,-98.51181,543.0,-18000,America/Chicago,CDT
23,51.493847,10.434783,309.0,7200,Europe/Berlin,CEST
24,23.022846,-102.03763,2064.0,-21600,America/Mexico_City,CST
25,-33.005272,-55.987732,103.0,-10800,America/Montevideo,-03
26,46.010544,2.0,550.0,7200,Europe/Paris,CEST
27,24.99121,45.04844,789.0,10800,Asia/Riyadh,+03
28,42.565903,20.942564,598.0,7200,Europe/Belgrade,CEST
29,1.3005272,103.862564,15.0,28800,Asia/Singapore,+08
30,24.007029,121.113464,1133.0,28800,Asia/Taipei,CST
31,46.010544,25.000002,583.0,10800,Europe/Bucharest,EEST
32,13.813708,-88.92465,715.0,-21600,America/El_Salvador,CST
33,59.015816,26.089888,97.0,10800,Europe/Tallinn,EEST
34,51.98594,19.981651,113.0,7200,Europe/Warsaw,CEST
35,39.964848,-4.022339,512.0,7200,Europe/Madrid,CEST
36,44.815464,20.448223,115.0,7200,Europe/Belgrade,CEST
37,-29.982426,-70.8042,1209.0,-14400,America/Santiago,-04
38,9.033392,-80.03461,56.0,-18000,America/Panama,EST
39,35.88752,14.418605,90.0,7200,Europe/Malta,CEST
40,42.8471,12.800001,647.0,7200,Europe/Rome,CEST
41,15.500878,-90.33835,1366.0,-21600,America/Guatemala,CST
42,12.970123,-85.009094,132.0,-21600,America/Managua,CST
43,-10.017574,-54.851135,420.0,-14400,America/Cuiaba,-04
44,48.681896,19.611486,1175.0,7200,Europe/Bratislava,CEST
45,56.97715,25.06329,95.0,10800,Europe/Riga,EEST
46,41.65202,63.85838,197.0,18000,Asia/Samarkand,+05
47,-33.989456,-64.04492,148.0,-10800,America/Argentina/Cordoba,-03
48,47.97891,68.02326,383.0,18000,Asia/Almaty,+05
49,34.973637,33.163914,689.0,10800,Asia/Nicosia,EEST
50,35.676624,139.80695,25.0,32400,Asia/Tokyo,JST
51,36.52021,127.64706,175.0,32400,Asia/Seoul,KST
52,13.391915,122.5777,212.0,28800,Asia/Manila,PST
53,16.133566,107.914696,1002.0,25200,Asia/Ho_Chi_Minh,+07
54,39.683655,-8.0,578.0,3600,Europe/Lisbon,WEST
55,46.994724,20.016233,92.0,7200,Europe/Budapest,CEST
56,-23.304043,-57.98532,82.0,-14400,America/Asuncion,-04
57,15.500878,100.99624,115.0,25200,Asia/Bangkok,+07
58,2.4956062,112.55405,272.0,28800,Asia/Kuching,+08
59,34.973637,104.98094,2013.0,28800,Asia/Shanghai,CST
60,15.008787,-86.47058,955.0,-21600,America/Tegucigalpa,CST
61,26.045692,50.514225,76.0,10800,Asia/Bahrain,+03
62,45.166958,15.560748,303.0,7200,Europe/Zagreb,CEST
63,38.980667,22.068493,672.0,10800,Europe/Athens,EEST
64,44.253075,17.725191,842.0,7200,Europe/Sarajevo,CEST
65,28.01406,16.963882,513.0,7200,Africa/Tripoli,EET
66,18.172232,-77.2807,534.0,-18000,America/Jamaica,EST
67,-10.017574,-75.42032,1177.0,-18000,America/Lima,-05
68,19.015816,-70.8284,1498.0,-14400,America/Santo_Domingo,AST
69,-20.281195,57.56024,434.0,14400,Indian/Mauritius,+04
70,47.27592,28.529413,185.0,10800,Europe/Chisinau,EEST
71,60.0,100.0232,313.0,25200,Asia/Krasnoyarsk,+07
72,-16.977154,-64.97604,2023.0,-14400,America/La_Paz,-04
73,-1.2302285,-78.208374,3050.0,-18000,America/Guayaquil,-05
74,41.51142,74.95677,1840.0,21600,Asia/Bishkek,+06
75,42.7768,19.171597,1676.0,7200,Europe/Podgorica,CEST
76,46.010544,105.00001,1390.0,28800,Asia/Ulaanbaatar,+08
77,3.9718804,-73.21661,224.0,-18000,America/Bogota,-05
78,7.9789104,-66.02048,68.0,-18000,America/Bogota,-05
79,-5.026362,120.12366,0.0,28800,Asia/Makassar,WITA
80,42.636204,25.353981,442.0,10800,Europe/Sofia,EEST
81,40.246044,44.873596,2786.0,14400,Asia/Yerevan,+04
82,-28.998243,24.048164,1129.0,7200,Africa/Johannesburg,SAST
83,41.65202,21.84971,220.0,7200,Europe/Skopje,CEST
84,28.01406,3.047404,495.0,3600,Africa/Algiers,CET
85,22.24956,114.17355,174.0,28800,Asia/Hong_Kong,HKT
86,41.01933,19.900143,90.0,7200,Europe/Tirane,CEST
87,38.980667,71.136986,3450.0,18000,Asia/Dushanbe,+05
88,-2.4956064,23.490793,428.0,7200,Africa/Lubumbashi,CAT
89,-18.24253,35.034145,133.0,7200,Africa/Maputo,CAT
90,42.003513,43.49345,1050.0,14400,Asia/Tbilisi,+04
91,33.005272,43.95092,42.0,10800,Asia/Baghdad,+03
92,28.01406,83.80361,1000.0,20700,Asia/Kathmandu,+0545
93,18.031633,104.97082,683.0,25200,Asia/Vientiane,+07
94,-1.0193322,11.622047,652.0,3600,Africa/Libreville,WAT
95,7.9789104,-5.533722,255.0,0,Africa/Abidjan,GMT
96,10.86116,-10.672546,425.0,0,Africa/Conakry,GMT
97,38.980667,35.0137,1147.0,10800,Europe/Istanbul,+03
98,14.516696,-14.276428,48.0,0,Africa/Dakar,GMT
99,32.021088,52.979492,1510.0,12600,Asia/Tehran,+0330
100,40.52724,47.542374,11.0,14400,Asia/Baku,+04
101,10.017574,8.038528,781.0,3600,Africa/Lagos,WAT
102,31.95079,35.240967,871.0,10800,Asia/Hebron,EEST
103,6.010545,12.535446,718.0,3600,Africa/Douala,WAT
104,49.03339,32.044292,150.0,10800,Europe/Kiev,EEST
105,-21.968367,17.222221,1935.0,7200,Africa/Windhoek,CAT
106,28.50615,-10.034149,573.0,3600,Africa/Casablanca,+01
107,29.982424,69.965034,1721.0,18000,Asia/Karachi,PKT
108,18.031633,9.017509,1031.0,3600,Africa/Niamey,WAT
109,12.478031,-1.7073364,312.0,0,Africa/Ouagadougou,GMT
110,20.281195,-10.481934,386.0,0,Africa/Nouakchott,GMT
111,13.532514,-15.494507,12.0,0,Africa/Banjul,GMT
112,15.008787,18.991598,344.0,3600,Africa/Ndjamena,WAT
113,1.0193322,37.984253,694.0,10800,Africa/Nairobi,EAT
114,33.989452,8.988764,23.0,3600,Africa/Tunis,CET
115,9.525483,2.2715404,336.0,3600,Africa/Porto-Novo,WAT
116,1.2302284,32.533543,1090.0,10800,Africa/Kampala,EAT
117,20.984182,96.02434,165.0,23400,Asia/Yangon,+0630
118,12.970123,104.972725,36.0,25200,Asia/Phnom_Penh,+07
119,8.119508,-1.231842,139.0,0,Africa/Accra,GMT
120,6.5026364,-9.513428,191.0,0,Africa/Monrovia,GMT
121,18.031633,-2.0136414,293.0,0,Africa/Bamako,GMT
122,-20.0,45.72,357.0,10800,Indian/Antananarivo,EAT
123,8.681898,1.0852714,322.0,0,Africa/Lome,GMT
124,30.966606,36.042656,855.0,10800,Asia/Amman,+03
125,21.968365,78.981476,696.0,19800,Asia/Kolkata,IST
126,27.029877,30.0,198.0,10800,Africa/Cairo,EEST
127,7.768014,80.72402,358.0,19800,Asia/Colombo,+0530
128,24.007029,90.0,11.0,21600,Asia/Dhaka,+06
129,9.033392,39.472317,1724.0,10800,Africa/Addis_Ababa,EAT
130,-6.0105443,34.904087,1035.0,10800,Africa/Dar_es_Salaam,EAT
131,-12.267135,44.43243,1120.0,10800,Indian/Comoro,EAT
132,15.500878,47.537594,1421.0,10800,Asia/Aden,+03
133,-14.3057995,28.473637,1151.0,7200,Africa/Lusaka,CAT
134,-26.467487,31.519823,538.0,7200,Africa/Mbabane,SAST
135,-13.532513,34.038464,1187.0,7200,Africa/Blantyre,CAT
136,-21.968367,23.981482,1002.0,7200,Africa/Gaborone,CAT
137,-19.015818,29.733728,1212.0,7200,Africa/Harare,CAT
138,-2.4956064,23.490793,428.0,7200,Africa/Lubumbashi,CAT
139,8.471002,-11.52063,362.0,0,Africa/Freetown,GMT
140,-29.490334,28.300577,2457.0,7200,Africa/Maseru,SAST
141,33.848858,35.865505,1241.0,10800,Asia/Beirut,EEST
142,33.005272,66.14724,2213.0,16200,Asia/Kabul,+0430
