time,daylight_duration (s)
2023-01-01,28244.82
2023-01-02,28318.36
2023-01-03,28398.38
2023-01-04,28484.68
2023-01-05,28577.06
2023-01-06,28675.29
2023-01-07,28779.18
2023-01-08,28888.50
2023-01-09,29003.05
2023-01-10,29122.61
2023-01-11,29246.99
2023-01-12,29375.96
2023-01-13,29509.33
2023-01-14,29646.89
2023-01-15,29788.44
2023-01-16,29933.79
2023-01-17,30082.73
2023-01-18,30235.38
2023-01-19,30393.42
2023-01-20,30556.82
2023-01-21,30725.25
2023-01-22,30898.41
2023-01-23,31075.98
2023-01-24,31257.66
2023-01-25,31443.14
2023-01-26,31632.13
2023-01-27,31824.37
2023-01-28,32019.55
2023-01-29,32217.41
2023-01-30,32417.70
2023-01-31,32620.14
2023-02-01,32824.51
2023-02-02,33030.54
2023-02-03,33238.01
2023-02-04,33446.69
2023-02-05,33656.34
2023-02-06,33866.77
2023-02-07,34078.11
2023-02-08,34292.41
2023-02-09,34509.78
2023-02-10,34729.95
2023-02-11,34952.66
2023-02-12,35177.66
2023-02-13,35404.72
2023-02-14,35633.60
2023-02-15,35864.07
2023-02-16,36095.90
2023-02-17,36328.88
2023-02-18,36562.80
2023-02-19,36797.45
2023-02-20,37032.62
2023-02-21,37268.13
2023-02-22,37503.77
2023-02-23,37739.36
2023-02-24,37974.72
2023-02-25,38209.66
2023-02-26,38444.00
2023-02-27,38677.91
2023-02-28,38913.31
2023-03-01,39150.36
2023-03-02,39388.88
2023-03-03,39628.69
2023-03-04,39869.62
2023-03-05,40111.51
2023-03-06,40354.20
2023-03-07,40597.50
2023-03-08,40841.27
2023-03-09,41085.34
2023-03-10,41329.57
2023-03-11,41573.79
2023-03-12,41817.86
2023-03-13,42061.61
2023-03-14,42304.89
2023-03-15,42547.56
2023-03-16,42789.46
2023-03-17,43030.43
2023-03-18,43270.33
2023-03-19,43509.31
2023-03-20,43749.12
2023-03-21,43989.91
2023-03-22,44231.56
2023-03-23,44473.92
2023-03-24,44716.86
2023-03-25,44960.23
2023-03-26,45203.90
2023-03-27,45447.73
2023-03-28,45691.59
2023-03-29,45935.31
2023-03-30,46178.77
2023-03-31,46421.82
2023-04-01,46664.32
2023-04-02,46906.10
2023-04-03,47147.03
2023-04-04,47386.95
2023-04-05,47625.70
2023-04-06,47863.13
2023-04-07,48099.07
2023-04-08,48333.65
2023-04-09,48568.55
2023-04-10,48803.93
2023-04-11,49039.64
2023-04-12,49275.56
2023-04-13,49511.52
2023-04-14,49747.39
2023-04-15,49983.01
2023-04-16,50218.22
2023-04-17,50452.87
2023-04-18,50686.80
2023-04-19,50919.83
2023-04-20,51151.79
2023-04-21,51382.52
2023-04-22,51611.82
2023-04-23,51839.51
2023-04-24,52065.40
2023-04-25,52289.29
2023-04-26,52510.97
2023-04-27,52730.24
2023-04-28,52947.18
2023-04-29,53163.44
2023-04-30,53379.13
2023-05-01,53594.11
2023-05-02,53808.20
2023-05-03,54021.22
2023-05-04,54233.00
2023-05-05,54443.34
2023-05-06,54652.05
2023-05-07,54858.94
2023-05-08,55063.80
2023-05-09,55266.42
2023-05-10,55466.59
2023-05-11,55664.08
2023-05-12,55858.66
2023-05-13,56050.09
2023-05-14,56238.14
2023-05-15,56422.56
2023-05-16,56603.08
2023-05-17,56779.46
2023-05-18,56951.71
2023-05-19,57121.20
2023-05-20,57288.04
2023-05-21,57452.05
2023-05-22,57613.04
2023-05-23,57770.84
2023-05-24,57925.24
2023-05-25,58076.07
2023-05-26,58223.10
2023-05-27,58366.17
2023-05-28,58505.05
2023-05-29,58639.55
2023-05-30,58769.45
2023-05-31,58894.53
2023-06-01,59014.60
2023-06-02,59129.43
2023-06-03,59238.80
2023-06-04,59342.52
2023-06-05,59440.35
2023-06-06,59532.08
2023-06-07,59617.64
2023-06-08,59697.73
2023-06-09,59772.41
2023-06-10,59841.60
2023-06-11,59905.25
2023-06-12,59963.25
2023-06-13,60015.56
2023-06-14,60062.12
2023-06-15,60102.86
2023-06-16,60137.73
2023-06-17,60166.66
2023-06-18,60189.62
2023-06-19,60206.57
2023-06-20,60217.46
2023-06-21,60222.27
2023-06-22,60220.95
2023-06-23,60213.49
2023-06-24,60199.87
2023-06-25,60180.08
2023-06-26,60154.09
2023-06-27,60121.85
2023-06-28,60083.01
2023-06-29,60037.65
2023-06-30,59985.89
2023-07-01,59927.91
2023-07-02,59863.84
2023-07-03,59793.83
2023-07-04,59718.06
2023-07-05,59636.67
2023-07-06,59549.84
2023-07-07,59457.71
2023-07-08,59360.45
2023-07-09,59258.23
2023-07-10,59151.21
2023-07-11,59039.57
2023-07-12,58923.44
2023-07-13,58803.02
2023-07-14,58678.43
2023-07-15,58549.88
2023-07-16,58417.48
2023-07-17,58281.20
2023-07-18,58139.80
2023-07-19,57993.34
2023-07-20,57842.09
2023-07-21,57686.27
2023-07-22,57526.16
2023-07-23,57361.99
2023-07-24,57194.02
2023-07-25,57022.47
2023-07-26,56847.59
2023-07-27,56669.60
2023-07-28,56488.73
2023-07-29,56305.18
2023-07-30,56119.18
2023-07-31,55930.91
2023-08-01,55740.61
2023-08-02,55548.43
2023-08-03,55354.59
2023-08-04,55159.27
2023-08-05,54962.64
2023-08-06,54764.60
2023-08-07,54563.57
2023-08-08,54359.52
2023-08-09,54152.64
2023-08-10,53943.20
2023-08-11,53731.39
2023-08-12,53517.42
2023-08-13,53301.52
2023-08-14,53083.86
2023-08-15,52864.66
2023-08-16,52644.09
2023-08-17,52422.35
2023-08-18,52199.59
2023-08-19,51976.01
2023-08-20,51751.76
2023-08-21,51527.02
2023-08-22,51301.93
2023-08-23,51076.66
2023-08-24,50851.35
2023-08-25,50626.16
2023-08-26,50400.93
2023-08-27,50174.08
2023-08-28,49945.49
2023-08-29,49715.34
2023-08-30,49483.78
2023-08-31,49250.98
2023-09-01,49017.11
2023-09-02,48782.30
2023-09-03,48546.72
2023-09-04,48310.51
2023-09-05,48073.80
2023-09-06,47836.76
2023-09-07,47599.51
2023-09-08,47362.20
2023-09-09,47124.93
2023-09-10,46887.88
2023-09-11,46651.14
2023-09-12,46414.86
2023-09-13,46179.17
2023-09-14,45944.19
2023-09-15,45709.75
2023-09-16,45474.28
2023-09-17,45237.63
2023-09-18,44999.95
2023-09-19,44761.37
2023-09-20,44522.03
2023-09-21,44282.08
2023-09-22,44041.65
2023-09-23,43800.88
2023-09-24,43559.90
2023-09-25,43318.85
2023-09-26,43077.86
2023-09-27,42837.07
2023-09-28,42596.61
2023-09-29,42356.62
2023-09-30,42117.24
2023-10-01,41878.60
2023-10-02,41640.85
2023-10-03,41404.12
2023-10-04,41168.56
2023-10-05,40934.00
2023-10-06,40698.72
2023-10-07,40462.57
2023-10-08,40225.71
2023-10-09,39988.27
2023-10-10,39750.44
2023-10-11,39512.36
2023-10-12,39274.19
2023-10-13,39036.10
2023-10-14,38798.25
2023-10-15,38560.81
2023-10-16,38323.95
2023-10-17,38087.84
2023-10-18,37852.67
2023-10-19,37618.61
2023-10-20,37385.85
2023-10-21,37154.58
2023-10-22,36924.99
2023-10-23,36697.29
2023-10-24,36471.68
2023-10-25,36248.01
2023-10-26,36024.36
2023-10-27,35800.56
2023-10-28,35576.80
2023-10-29,35353.30
2023-10-30,35130.23
2023-10-31,34907.82
2023-11-01,34686.28
2023-11-02,34465.82
2023-11-03,34246.66
2023-11-04,34029.05
2023-11-05,33813.21
2023-11-06,33599.39
2023-11-07,33387.84
2023-11-08,33178.81
2023-11-09,32972.57
2023-11-10,32769.39
2023-11-11,32569.55
2023-11-12,32373.34
2023-11-13,32181.04
2023-11-14,31992.60
2023-11-15,31806.06
2023-11-16,31621.29
2023-11-17,31438.51
2023-11-18,31257.95
2023-11-19,31079.85
2023-11-20,30904.45
2023-11-21,30732.00
2023-11-22,30562.76
2023-11-23,30396.98
2023-11-24,30234.94
2023-11-25,30076.89
2023-11-26,29923.14
2023-11-27,29773.93
2023-11-28,29629.58
2023-11-29,29490.36
2023-11-30,29356.58
2023-12-01,29228.53
2023-12-02,29106.50
2023-12-03,28990.81
2023-12-04,28881.51
2023-12-05,28777.27
2023-12-06,28678.01
2023-12-07,28583.87
2023-12-08,28494.97
2023-12-09,28411.47
2023-12-10,28333.49
2023-12-11,28261.18
2023-12-12,28194.65
2023-12-13,28134.05
2023-12-14,28079.50
2023-12-15,28031.13
2023-12-16,27989.06
2023-12-17,27953.41
2023-12-18,27924.28
2023-12-19,27901.79
2023-12-20,27886.03
2023-12-21,27877.12
2023-12-22,27875.15
2023-12-23,27880.20
2023-12-24,27892.36
2023-12-25,27911.72
2023-12-26,27938.18
2023-12-27,27971.60
2023-12-28,28011.87
2023-12-29,28058.82
2023-12-30,28112.33
2023-12-31,28172.25
